id	author_id	created_at	retweet_count	like_count	location	author_follower_count	text
1460741085056040968	26157329	Tue Nov 16 22:46:28 +0000 2021	2	10	Calgary, Alberta	4367	"""Since Covid is airborne, what are your thoughts on having air filtration or monitors in schools?"" Hinshaw says there are multiple methods of transmission and having a closed indoor space w/ poor ventilation and many people present does crease risk of airborne spread."
1460740996241637379	24115395	Tue Nov 16 22:46:07 +0000 2021	1	5	Calgary	223	@beansprouts_mom @trendless @caruzycki @SeeLuluRun @WHO @AHS_media Welcome to team covid is airborne 
1460740885281447939	38921194	Tue Nov 16 22:45:40 +0000 2021	92	436	Calgary, Alberta	9386	I asked CMOH Dr. Deena Hinshaw if she foresees a fifth wave of COVID-19 in Alberta this winter.  She said there is a risk.  Big risk factors:  - too many unvaccinated people - social gatherings going inside as it gets colder
1460740730616528897	613799128	Tue Nov 16 22:45:04 +0000 2021	0	2	Lethbridge, Alberta	3044	Meet safely when you visit our venue 😷.   All event participants are required to provide proof of vaccination status when entering our venue.  ➡️  
1460740546096349185	791141651083321344	Tue Nov 16 22:44:20 +0000 2021	0	0	Edmonton	30	"@Garland2018 ""We will never reach 100% vaccination here, [...] The vaccines are not 100% effective against symptomatic infection""  Correct. That's why complimentary measures are needed to help curb Covid.  Thinking we only need vaccines to escape this is a false premise."
1460740464114495488	197139260	Tue Nov 16 22:44:00 +0000 2021	12	66	Edmonton	12311	Don't want a fifth wave that will overwhelm the health system? Increase vaccine uptake, keep wearing your mask, keep washing your hands, stay home when sick. If you want to improve ventilation make sure it's done by a pro who can consider whole system.
1460739999863693317	22845977	Tue Nov 16 22:42:09 +0000 2021	0	1	Edmonton, AB	1385	Update: In the last 24 hours:  321 new cases of COVID-19 6425 test administered  Positivity rate: 5.1 per cent  201 schools either have an outbreak or active alerts  10 of these have had 10 or more cases in the last 14 days  518 people being treated 101 in ICU 13 deaths
1460739884856094731	75155945	Tue Nov 16 22:41:42 +0000 2021	1	6	Saskatoon, SK	42251	The Saskatchewan NDP introduces a bill to provide 10 paid sick days each year during non-COVID times and 14 paid sick days during the COVID-19 state of emergency. 
1460739843529396224	26157329	Tue Nov 16 22:41:32 +0000 2021	0	7	Calgary, Alberta	4367	Hinshaw notes if someone has been infected they should still get the vaccine so they have added layers of protection.
1460739841889554433	26157329	Tue Nov 16 22:41:32 +0000 2021	0	8	Calgary, Alberta	4367	"""Do you foresee a 5th wave in AB?"" Hinshaw says the risks of a 5th wave are similar to the risks previously talked about - transmission increases in indoor locations. Says we still have a % of the pop. w/o vaccine protection."
1460739752068591618	19766599	Tue Nov 16 22:41:10 +0000 2021	0	0	Hamilton Ont CANADA	698	@millette_cheryl @bucketwoman0 @FourWinns298 With things less deadly than COVID-19. So your statement doesn’t fly.
1460739730493120516	27471594	Tue Nov 16 22:41:05 +0000 2021	1	1	Edmonton, Alberta	2243	Q: Do you foresee a 5th wave? Hinshaw says there is still some people that haven't had a vaccine and with the seasonal factor of people moving indoors, there is a risk of a 5th wave. Delta is highly transmissible. The more people take precautions the less the chance.
1460739697114812427	57141422	Tue Nov 16 22:40:57 +0000 2021	0	0	UK and Canada	431	Too many NHS staff are still unvaccinated - this is how we change that | Danielle Oum   @doumsday3
